Fecha,Hora,Tema,URL
2027-01-05,15:00,Sopas y cremas para llevar: tarrinas con tapa y envases microondables,https://www.garciadepou.com/es/take-away/tarrinas/tarrinas-para-sopas.html?product_list_order=position
2027-01-07,15:00,Empiece el año con la mesa nueva: servilletas y mantelería de diario,https://www.garciadepou.com/es/un-solo-uso/servilletas-de-papel/servilletas-kangaroo.html?product_list_order=position
2027-01-12,15:00,Mantelines individuales: cambie la imagen del menú del día,https://www.garciadepou.com/es/un-solo-uso/manteles-individuales.html?product_list_order=position
2027-01-14,15:00,Servilletas Canguro: agilidad en mesa cuando la plantilla es corta,https://www.garciadepou.com/es/un-solo-uso/servilletas-de-papel/servilletas-kangaroo.html?product_list_order=position
2027-01-19,15:00,"Papel antigrasa: proteger, presentar y no traspasar",https://www.garciadepou.com/es/take-away/papel-antigrasa/envoltorios-recipientes-presentacion.html?product_list_order=position
2027-01-21,15:00,"San Valentín: la mesa que se recuerda. Tête-à-Tête, Like-Linen y mantelería decorada",https://www.garciadepou.com/es/un-solo-uso/tete-a-tete.html
2027-01-26,15:00,Cajas de bombones y pastelería fina para San Valentín,https://www.garciadepou.com/es/un-solo-uso/pasteleria/cajas-para-pasteleria.html?product_list_order=position
2027-01-28,15:00,Bolsas y papel de regalo para San Valentín,https://www.garciadepou.com/es/cotillon/papel-y-bolsas-para-regalos.html?product_list_order=position
2027-02-02,15:00,Carnaval: masas fritas y dulces de temporada. Cucuruchos y papelinas de punta,https://www.garciadepou.com/es/disposable-products/cucuruchos-de-papel.html?product_list_order=position
2027-02-04,15:00,Mantelería Airlaid: efecto tela sin lavandería,https://www.garciadepou.com/es/un-solo-uso/manteles-de-papel.html?product_list_order=position
2027-02-09,15:00,"Servilletas personalizadas: su logo en cada mesa, también en tirada corta",
2027-02-11,15:00,Bolsas para panadería y bollería: el desayuno fuera de casa,https://www.garciadepou.com/es/un-solo-uso/bolsas-de-papel-planas/bolsas-para-pan.html
2027-02-16,15:00,Posavasos y presentación de barra para el aperitivo de invierno,
2027-02-18,15:00,Brunch de fin de semana: la mesa que se fotografía,https://www.garciadepou.com/es/marcas/like-linen.html?product_list_order=position
